Uniprot	Gene_name	Species
Q96S38	RPS6KC1	Homo sapiens
Q96S44	TP53RK	Homo sapiens
Q96S53	TESK2	Homo sapiens
Q96SB4	SRPK1	Homo sapiens
Q98949	TYRO3	Gallus gallus
Q99558	MAP3K14	Homo sapiens
Q99570	PIK3R4	Homo sapiens
Q99640	PKMYT1	Homo sapiens
Q99683	MAP3K5	Homo sapiens
Q99755	PIP5K1A	Homo sapiens
Q99759	MAP3K3	Homo sapiens
Q99986	VRK1	Homo sapiens
Q99J45	Nrbp1	Mus musculus
Q99J82	Ilk	Rattus norvegicus
Q99J95	Cdk9	Mus musculus
Q99JP0	Map4k3	Mus musculus
Q99JT2	Stk26	Mus musculus
Q99KH8	Stk24	Mus musculus
Q99KY4	Gak	Mus musculus
Q99M64	Pi4k2a	Rattus norvegicus
Q99MK8	Grk2	Mus musculus
Q99ML2	Tnk1	Mus musculus
Q99ML4	Dipk1b	Mus musculus
Q99MQ3	Pink1	Mus musculus
Q99MW1	Stk31	Mus musculus
Q99N57	Raf1	Mus musculus
Q99NI4	Ipmk	Rattus norvegicus
Q99PW4	Tp53rkb	Mus musculus
Q9BQI3	EIF2AK1	Homo sapiens
Q9BRS2	RIOK1	Homo sapiens
Q9BTU6	PI4K2A	Homo sapiens
Q9BUB5	MKNK1	Homo sapiens
Q9BVS4	RIOK2	Homo sapiens
Q9BWU1	CDK19	Homo sapiens
Q9BX84	TRPM6	Homo sapiens
Q9BXA6	TSSK6	Homo sapiens
Q9BXA7	TSSK1B	Homo sapiens
Q9BXM7	PINK1	Homo sapiens
Q9BXU1	STK31	Homo sapiens
Q9BYP7	WNK3	Homo sapiens
Q9BYT3	STK33	Homo sapiens
Q9BZL6	PRKD2	Homo sapiens
Q9C098	DCLK3	Homo sapiens
Q9C0K7	STRADB	Homo sapiens
Q9CQS5	Riok2	Mus musculus
Q9CXB8	Alpk1	Mus musculus
Q9D0L4	Adck1	Mus musculus
Q9D2E1	Tssk3	Mus musculus
Q9D2Y4	Mlkl	Mus musculus
Q9D411	Tssk4	Mus musculus
Q9D4V0	Etnk1	Mus musculus
Q9D6I7	Dipk1a	Mus musculus
Q9DB30	Phkg2	Mus musculus
Q9DBU3	Riok3	Mus musculus
Q9DC28	Csnk1d	Mus musculus
Q9DE49	pdgfra	Danio rerio
Q9DF58	ILK	Gallus gallus
Q9DGD9	mapk8	Danio rerio
Q9DGE0	map2k6	Danio rerio
Q9DGE1	mapk14b	Danio rerio
Q9DGE2	mapk14a	Danio rerio
Q9EQC5	Scyl1	Mus musculus
Q9EQY0	Ern1	Mus musculus
Q9ER35	Fn3k	Mus musculus
Q9ERE3	Sgk3	Mus musculus
Q9ERH7	Hipk3	Mus musculus
Q9ERK0	Ripk4	Mus musculus
Q9ES70	Nek6	Mus musculus
Q9ES74	Nek7	Mus musculus
Q9ESG9	Pkmyt1	Mus musculus
Q9ESL4	Map3k20	Mus musculus
Q9ESM0	Ip6k1	Rattus norvegicus
Q9GN62	par-4	Caenorhabditis elegans
Q9GT24	zyg-1	Caenorhabditis elegans
Q9GYQ4	gcy-8	Caenorhabditis elegans
Q9H093	NUAK2	Homo sapiens
Q9H0K1	SIK2	Homo sapiens
Q9H1R3	MYLK2	Homo sapiens
Q9H2G2	SLK	Homo sapiens
Q9H2K8	TAOK3	Homo sapiens
Q9H2X6	HIPK2	Homo sapiens
Q9H3Y6	SRMS	Homo sapiens
Q9H422	HIPK3	Homo sapiens
Q9H479	FN3K	Homo sapiens
Q9H4A3	WNK1	Homo sapiens
Q9H4B4	PLK3	Homo sapiens
Q9H5K3	POMK	Homo sapiens
Q9H792	PEAK1	Homo sapiens
Q9H7Y0	DIPK2B	Homo sapiens
Q9H8X2	IPPK	Homo sapiens
Q9HA64	FN3KRP	Homo sapiens
Q9HAZ1	CLK4	Homo sapiens
Q9HBH9	MKNK2	Homo sapiens
Q9HBU6	ETNK1	Homo sapiens
Q9HBY8	SGK2	Homo sapiens
Q9HC98	NEK6	Homo sapiens
Q9HCP0	CSNK1G1	Homo sapiens
Q9I7F7	Ack-like	Drosophila melanogaster
Q9I8N6	csf1r	Danio rerio
Q9I8X3	fgfr3	Danio rerio
Q9I9E0	TAOK3	Gallus gallus
Q9IA88	SIK2	Gallus gallus
Q9JHG7	Pik3cg	Mus musculus
Q9JHU3	Cdk20	Mus musculus
Q9JI10	Stk3	Mus musculus
Q9JI11	Stk4	Mus musculus
Q9JIH7	Wnk1	Rattus norvegicus
Q9JJ78	Pbk	Mus musculus
Q9JJX8	Stk32b	Mus musculus
Q9JKK8	Atr	Mus musculus
Q9JKV2	Cilk1	Mus musculus
Q9JLM8	Dclk1	Mus musculus
Q9JLN9	Mtor	Mus musculus
Q9JLS3	Taok2	Rattus norvegicus
Q9JM01	Cdkl3	Rattus norvegicus
Q9JM52	Mink1	Mus musculus
Q9JMK2	Csnk1e	Mus musculus
Q9N0P9	PIM1	Bos taurus
Q9N0X0	AURKB	Sus scrofa
Q9N2L7	plk-2	Caenorhabditis elegans
Q9N3Q4	atm-1	Caenorhabditis elegans
Q9N3Z3	chk-1	Caenorhabditis elegans
Q9NAH6	rsks-1	Caenorhabditis elegans
Q9NB31	cst-1	Caenorhabditis elegans
Q9NBK5	trc	Drosophila melanogaster
Q9NGW9	mkcB	Dictyostelium discoideum
Q9NI63	Myt1	Drosophila melanogaster
Q9NIV1	PEK	Drosophila melanogaster
Q9NLA1	flr-4	Caenorhabditis elegans
Q9NQU5	PAK6	Homo sapiens
Q9NR20	DYRK4	Homo sapiens
Q9NRH2	SNRK	Homo sapiens
Q9NRM7	LATS2	Homo sapiens
Q9NRP7	STK36	Homo sapiens
Q9NSY0	NRBP2	Homo sapiens
Q9NSY1	BMP2K	Homo sapiens
Q9NVF9	ETNK2	Homo sapiens
Q9NWZ3	IRAK4	Homo sapiens
Q9NY57	STK32B	Homo sapiens
Q9NYL2	MAP3K20	Homo sapiens
Q9NYV4	CDK12	Homo sapiens
Q9NYY3	PLK2	Homo sapiens
Q9NZJ5	EIF2AK3	Homo sapiens
Q9P0L2	MARK1	Homo sapiens
Q9P1W9	PIM2	Homo sapiens
Q9P286	PAK5	Homo sapiens
Q9P289	STK26	Homo sapiens
Q9P2K8	EIF2AK4	Homo sapiens
Q9PUF6	PDGFRA	Gallus gallus
Q9QUK0	Cdkl2	Mus musculus
Q9QVP9	Ptk2b	Mus musculus
Q9QY01	Ulk2	Mus musculus
Q9QY78	Ikbkb	Rattus norvegicus
Q9QYK9	Pnck	Mus musculus
Q9QYZ3	Smok2b	Mus musculus
Q9QYZ4	Smok1	Mus musculus
Q9QYZ6	Smok2a	Mus musculus
Q9QZ05	Eif2ak4	Mus musculus
Q9QZL0	Ripk3	Mus musculus
Q9QZR5	Hipk2	Mus musculus
Q9QZS5	Sgk2	Mus musculus
Q9R011	Plk3	Rattus norvegicus
Q9R012	Plk2	Rattus norvegicus
Q9R0A5	Nek3	Mus musculus
Q9R0G8	Nrk	Mus musculus
Q9R0I8	Pip4k2a	Rattus norvegicus
Q9R0T8	Ikbke	Mus musculus
Q9R0U1	Ip6k2	Rattus norvegicus
Q9R117	Tyk2	Mus musculus
Q9R1L5	Mast1	Mus musculus
Q9R1U5	Sik1	Rattus norvegicus
Q9TTY2	FER	Canis lupus familiaris
Q9TVL3	cdk-9	Caenorhabditis elegans
Q9TW45	par-1	Caenorhabditis elegans
Q9TXI7	vps-34	Caenorhabditis elegans
Q9TXJ0	cmk-1	Caenorhabditis elegans
Q9TZC4	pat-4	Caenorhabditis elegans
Q9TZM3	lrk-1	Caenorhabditis elegans
Q9U1K1	spir	Drosophila melanogaster
Q9U1Y5	chk-2	Caenorhabditis elegans
Q9U2H1	cdkl-1	Caenorhabditis elegans
Q9U2Q9	gsk-3	Caenorhabditis elegans
Q9U9Y8	lit-1	Caenorhabditis elegans
Q9UBE8	NLK	Homo sapiens
Q9UBF8	PI4KB	Homo sapiens
Q9UBS0	RPS6KB2	Homo sapiens
Q9UEE5	STK17A	Homo sapiens
Q9UEW8	STK39	Homo sapiens
Q9UF33	EPHA6	Homo sapiens
Q9UHD2	TBK1	Homo sapiens
Q9UHH9	IP6K2	Homo sapiens
Q9UHY1	NRBP1	Homo sapiens
Q9UIK4	DAPK2	Homo sapiens
Q9UK32	RPS6KA6	Homo sapiens
Q9UKE5	TNIK	Homo sapiens
Q9UKI8	TLK1	Homo sapiens
Q9UL54	TAOK2	Homo sapiens
Q9UM73	ALK	Homo sapiens
Q9UPE1	SRPK3	Homo sapiens
Q9UPZ9	CILK1	Homo sapiens
Q9UQ07	MOK	Homo sapiens
Q9UQ88	CDK11A	Homo sapiens
Q9UQB9	AURKC	Homo sapiens
Q9UQM7	CAMK2A	Homo sapiens
Q9V3D5	Dyrk2	Drosophila melanogaster
Q9V3I5	JIL-1	Drosophila melanogaster
Q9V3Q6	Tak1	Drosophila melanogaster
Q9V3Z1	trbl	Drosophila melanogaster
Q9V422	dnt	Drosophila melanogaster
Q9V6K3	Nrk	Drosophila melanogaster
Q9V9J3	Src42A	Drosophila melanogaster
Q9VA38	wts	Drosophila melanogaster
Q9VBW3	Cad96Ca	Drosophila melanogaster
Q9VEZ5	IKKbeta	Drosophila melanogaster
Q9VI13	Pak	Drosophila melanogaster
Q9VK45	mTor	Drosophila melanogaster
Q9VKN7	aurB	Drosophila melanogaster
Q9VM90	meng	Drosophila melanogaster
Q9VP22	Cdk12	Drosophila melanogaster
Q9VPC0	Pitslre	Drosophila melanogaster
Q9VT57	Cdk8	Drosophila melanogaster
Q9VWQ2	S6KL	Drosophila melanogaster
Q9VXE5	mbt	Drosophila melanogaster
Q9VXG8	mei-41	Drosophila melanogaster
Q9VZI2	Ack	Drosophila melanogaster
Q9W0V1	Pdk1	Drosophila melanogaster
Q9W133	Adck1	Drosophila melanogaster
Q9W1B0	gek	Drosophila melanogaster
Q9W2Q7	Ipk1	Drosophila melanogaster
Q9W2R3	sktl	Drosophila melanogaster
Q9W354	Erk7	Drosophila melanogaster
Q9WTK7	Stk11	Mus musculus
Q9WTL4	Insrr	Mus musculus
Q9WTQ0	Prkcq	Rattus norvegicus
Q9WTQ1	Prkd1	Rattus norvegicus
Q9WTQ6	Trib3	Rattus norvegicus
Q9WTR2	Map3k6	Mus musculus
Q9WTU6	Mapk9	Mus musculus
Q9WTY9	Mapk13	Rattus norvegicus
Q9WUA6	Akt3	Mus musculus
Q9WUD9	Src	Rattus norvegicus
Q9WUI1	Mapk11	Mus musculus
Q9WUL6	Map3k14	Mus musculus
Q9WUN2	Tbk1	Mus musculus
Q9WUT3	Rps6ka2	Mus musculus
Q9WV60	Gsk3b	Mus musculus
Q9WVC6	Sgk1	Mus musculus
Q9WVL4	Grk1	Mus musculus
Q9WVS4	Mok	Mus musculus
Q9WVS7	Map2k5	Mus musculus
Q9WVS8	Mapk7	Mus musculus
Q9XTC6	mom-4	Caenorhabditis elegans
Q9XTF3	mbk-2	Caenorhabditis elegans
Q9XTG7	akt-2	Caenorhabditis elegans
Q9XTR1	cdk-4	Caenorhabditis elegans
Q9XTW2	famk-1	Caenorhabditis elegans
Q9XTY1	gcy-22	Caenorhabditis elegans
Q9XU42	gcy-27	Caenorhabditis elegans
Q9XUJ7	dkf-1	Caenorhabditis elegans
Q9Y0Y6	Madm	Drosophila melanogaster
Q9Y1J3	pdk-1	Caenorhabditis elegans
Q9Y243	AKT3	Homo sapiens
Q9Y259	CHKB	Homo sapiens
Q9Y2H1	STK38L	Homo sapiens
Q9Y2H9	MAST1	Homo sapiens
Q9Y2I7	PIKFYVE	Homo sapiens
Q9Y2K2	SIK3	Homo sapiens
Q9Y2U5	MAP3K2	Homo sapiens
Q9Y3S1	WNK2	Homo sapiens
Q9Y463	DYRK1B	Homo sapiens
Q9Y4A5	TRRAP	Homo sapiens
Q9Y4K4	MAP4K5	Homo sapiens
Q9Y572	RIPK3	Homo sapiens
Q9Y5S2	CDC42BPB	Homo sapiens
Q9Y616	IRAK3	Homo sapiens
Q9Y6E0	STK24	Homo sapiens
Q9Y6M4	CSNK1G3	Homo sapiens
Q9Y6R4	MAP3K4	Homo sapiens
Q9Y6S9	RPS6KL1	Homo sapiens
Q9YHZ5	pim2	Danio rerio
Q9YI66	tyro3	Danio rerio
Q9Z0G2	Srpk3	Mus musculus
Q9Z0H0	Cdc7	Mus musculus
Q9Z0R0	Haspin	Mus musculus
Q9Z138	Ror2	Mus musculus
Q9Z139	Ror1	Mus musculus
Q9Z188	Dyrk1b	Mus musculus
Q9Z1B7	Mapk13	Mus musculus
Q9Z1J2	Nek4	Mus musculus
Q9Z1L0	Pik3cb	Rattus norvegicus
Q9Z1M4	Rps6kb2	Mus musculus
Q9Z1T6	Pikfyve	Mus musculus
Q9Z1W9	Stk39	Mus musculus
Q9Z1Z1	Eif2ak3	Rattus norvegicus
Q9Z265	Chek2	Mus musculus
Q9Z2A0	Pdpk1	Mus musculus
Q9Z2A6	Mapk15	Rattus norvegicus
Q9Z2B5	Eif2ak3	Mus musculus
Q9Z2B9	Rps6ka4	Mus musculus
Q9Z2E3	Ern2	Mus musculus
Q9Z2P5	Ripk3	Rattus norvegicus
Q9Z2R9	Eif2ak1	Mus musculus
Q9Z2W1	Stk25	Mus musculus
Q9Z335	Sbk1	Rattus norvegicus
U4PR86	pig-1	Caenorhabditis elegans
X5M5N0	wnk-1	Caenorhabditis elegans
X5M8U1	gcy-17	Caenorhabditis elegans
